Timestamp,TotalRequests,RejectedRequests,ProbabilityOfRejection,AverageBufferTime,AverageProcessingTime,Specialist1Load,Specialist2Load,Specialist3Load,Specialist4Load,Specialist5Load,Specialist6Load,Specialist7Load,Specialist8Load,Specialist9Load,Specialist10Load
2024-12-19T11:53:07.9915812+03:00,11,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024-12-19T11:53:08.1343447+03:00,18,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024-12-19T11:53:08.2344831+03:00,26,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024-12-19T11:53:08.3348039+03:00,33,0,0.0000,3.083730,4.430606,0.0000,0.0000,0.3030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024-12-19T11:53:08.4352392+03:00,40,0,0.0000,6.220917,3.943516,0.2500,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024-12-19T11:53:08.5360858+03:00,47,0,0.0000,8.751647,5.227240,0.2128,0.0000,0.2128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2128
2024-12-19T11:53:08.6360863+03:00,53,0,0.0000,12.460151,11.687399,0.1887,0.0000,0.1887,0.0000,0.0000,0.0000,0.0000,0.1887,0.0000,0.1887
2024-12-19T11:53:08.7371402+03:00,59,0,0.0000,11.193017,10.498850,0.1695,0.0000,0.1695,0.0000,0.0000,0.0000,0.0000,0.1695,0.0000,0.1695
2024-12-19T11:53:08.8375532+03:00,66,0,0.0000,16.012106,10.193900,0.1515,0.1515,0.1515,0.0000,0.0000,0.0000,0.0000,0.1515,0.0000,0.1515
2024-12-19T11:53:08.9386323+03:00,72,0,0.0000,14.677764,9.344408,0.1389,0.1389,0.1389,0.0000,0.0000,0.0000,0.0000,0.1389,0.0000,0.1389
2024-12-19T11:53:09.039045+03:00,78,0,0.0000,13.548705,8.625608,0.1282,0.1282,0.1282,0.0000,0.0000,0.0000,0.0000,0.1282,0.0000,0.1282
2024-12-19T11:53:09.1395764+03:00,83,0,0.0000,12.732518,8.105993,0.1205,0.1205,0.1205,0.0000,0.0000,0.0000,0.0000,0.1205,0.0000,0.1205
2024-12-19T11:53:09.2402241+03:00,90,0,0.0000,19.212811,9.047565,0.1111,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111
2024-12-19T11:53:09.3405719+03:00,95,1,0.0105,18.395245,8.662563,0.1064,0.1064,0.1064,0.0000,0.0000,0.0000,0.0000,0.1064,0.1064,0.1064
2024-12-19T11:53:09.4411783+03:00,101,3,0.0297,17.644418,8.308989,0.1020,0.1020,0.1020,0.0000,0.0000,0.0000,0.0000,0.1020,0.1020,0.1020
2024-12-19T11:53:09.541472+03:00,108,4,0.0370,16.626471,7.829624,0.0962,0.0962,0.0962,0.0000,0.0000,0.0000,0.0000,0.0962,0.0962,0.0962
